,Nav_GPS1_UTC,Nav_GPS1_Latitude,Nav_GPS1_Longitude
4667,2023-02-04 05:47:15,5.683,84.457
4668,2023-02-04 05:48:15,5.683,84.461
4669,2023-02-04 05:49:14,5.684,84.466
4670,2023-02-04 05:50:14,5.684,84.47
4671,2023-02-04 05:51:15,5.684,84.474
4672,2023-02-04 05:52:15,5.685,84.478
4673,2023-02-04 05:53:15,5.685,84.482
4674,2023-02-04 05:54:14,5.686,84.486
4675,2023-02-04 05:55:15,5.686,84.49
4676,2023-02-04 05:56:15,5.686,84.495
4677,2023-02-04 05:57:14,5.687,84.499
4678,2023-02-04 05:58:15,5.687,84.503
4679,2023-02-04 05:59:15,5.688,84.507
4680,2023-02-04 06:00:14,5.688,84.511
4681,2023-02-04 06:01:14,5.688,84.515
4682,2023-02-04 06:02:15,5.689,84.519
4683,2023-02-04 06:03:15,5.689,84.524
4684,2023-02-04 06:04:14,5.69,84.528
4685,2023-02-04 06:05:14,5.69,84.532
4686,2023-02-04 06:06:15,5.69,84.536
4687,2023-02-04 06:07:14,5.691,84.54
4688,2023-02-04 06:08:14,5.691,84.544
4689,2023-02-04 06:09:15,5.692,84.549
4690,2023-02-04 06:10:15,5.692,84.553
4691,2023-02-04 06:11:15,5.692,84.557
4692,2023-02-04 06:12:15,5.693,84.561
4693,2023-02-04 06:13:15,5.693,84.565
4694,2023-02-04 06:14:15,5.694,84.57
4695,2023-02-04 06:15:15,5.694,84.574
4696,2023-02-04 06:16:14,5.694,84.578
4697,2023-02-04 06:17:14,5.695,84.582
4698,2023-02-04 06:18:14,5.695,84.586
4699,2023-02-04 06:19:14,5.695,84.59
4700,2023-02-04 06:20:14,5.696,84.595
4701,2023-02-04 06:21:15,5.696,84.599
4702,2023-02-04 06:22:15,5.697,84.603
4703,2023-02-04 06:23:15,5.697,84.607
4704,2023-02-04 06:24:15,5.698,84.611
4705,2023-02-04 06:25:15,5.698,84.615
4706,2023-02-04 06:26:15,5.698,84.62
4707,2023-02-04 06:27:15,5.699,84.624
4708,2023-02-04 06:28:14,5.699,84.628
4709,2023-02-04 06:29:14,5.7,84.632
4710,2023-02-04 06:30:14,5.7,84.636
4711,2023-02-04 06:31:15,5.7,84.64
4712,2023-02-04 06:32:15,5.701,84.644
4713,2023-02-04 06:33:14,5.701,84.649
4714,2023-02-04 06:34:14,5.701,84.653
4715,2023-02-04 06:35:14,5.702,84.657
4716,2023-02-04 06:36:15,5.702,84.661
4717,2023-02-04 06:37:14,5.703,84.665
4718,2023-02-04 06:38:14,5.703,84.669
4719,2023-02-04 06:39:15,5.703,84.673
4720,2023-02-04 06:40:15,5.704,84.677
4721,2023-02-04 06:41:15,5.704,84.682
4722,2023-02-04 06:42:14,5.705,84.686
4723,2023-02-04 06:43:15,5.705,84.69
4724,2023-02-04 06:44:14,5.705,84.694
4725,2023-02-04 06:45:14,5.706,84.698
4726,2023-02-04 06:46:15,5.706,84.702
4727,2023-02-04 06:47:15,5.706,84.706
4728,2023-02-04 06:48:15,5.707,84.71
4729,2023-02-04 06:49:15,5.707,84.714
4730,2023-02-04 06:50:14,5.708,84.718
4731,2023-02-04 06:51:15,5.708,84.722
4732,2023-02-04 06:52:14,5.708,84.726
4733,2023-02-04 06:53:15,5.709,84.731
4734,2023-02-04 06:54:14,5.709,84.735
4735,2023-02-04 06:55:15,5.71,84.739
4736,2023-02-04 06:56:15,5.71,84.743
4737,2023-02-04 06:57:15,5.71,84.747
4738,2023-02-04 06:58:14,5.711,84.751
4739,2023-02-04 06:59:15,5.711,84.755
4740,2023-02-04 07:00:15,5.711,84.759
4741,2023-02-04 07:01:14,5.712,84.763
4742,2023-02-04 07:02:14,5.712,84.767
4743,2023-02-04 07:03:15,5.712,84.771
4744,2023-02-04 07:04:14,5.712,84.775
4745,2023-02-04 07:05:15,5.713,84.779
4746,2023-02-04 07:06:15,5.713,84.784
4747,2023-02-04 07:07:14,5.713,84.788
4748,2023-02-04 07:08:15,5.713,84.792
4749,2023-02-04 07:09:15,5.714,84.796
4750,2023-02-04 07:10:15,5.714,84.8
4751,2023-02-04 07:11:14,5.714,84.804
4752,2023-02-04 07:12:15,5.714,84.808
4753,2023-02-04 07:13:15,5.714,84.812
4754,2023-02-04 07:14:15,5.714,84.816
